sequence,16S_rRNA_Count
06076462fc832b6a88fc3ba9d8338f06,3
060fdbbfa61cbfb4d47350dc2a2019cd,1
0618b9a69593247db1a5d5c711d57288,1
0631a4199b20023b4777f3a6ee46a3b8,1
0634076e5c70cbca50a91df4cf774dda,1
0634c65275204f9471bb86a9f667f51a,1
0635a7a6b169edb8e3d60fb1be400508,1
063973c769493df930fdd0e9729c70bf,1
064166c7769c8f30fb86780e092ee8a3,3
06436b42f398526a61bbc33ec654dc58,1
0656df7c78dc4980d66abe30922f26b2,1
0657afe7f7bf2a7052dd0eb32af45a07,1
0657d19f62221af951dc91ca1a3c8d1d,1
065ba6a4b20a5fddd02e0baf3c9d77cc,1
065ce0e62eaf272e47660bdbb0ee2c7a,1
0667a7ce7f38cfa49736ada06282b1cc,1
066955ed5a61978f608ba41d302e9c9e,1
067145c361d0d048d989c40710188693,1
067ad6a6dc6f29573247c6878a10d167,1
06853f43fbe8426a21396fe2028c7650,1
068578f9719ffdd85b8f17963f402a31,1
068765f98a4518373708f4fdd094ab7b,1
068b018ec57967961694a8d7916c88a0,1
069498fbaf6498b70f18c5c2714ed953,1
069ba1af2ab84a275bcaed4c986f7f12,2
069e9565fcddd6d278af735b85ea6539,1
06a39ac0f7bcbff47933d5683e4341da,1
06a54e1fa823381b0d1a5da25b7df858,1
06a81553cba6c738c196ee017bacfa02,1
06aab028129d2ae21e891c09ece8c3cc,3
06b1cae7a8fbb03c0ccab9054af3f361,1
06b98914c295b75a04fd8bc783c10949,1
06ba33f483d9d0878d9593f46b47e1a9,2
06c00b756f1ba30799ce699936d4e366,1
06c0f478445096ac0b3ad3c9234b4083,1
06c2e6e73c139319cdff44982ca17cfe,1
06c7688cf5dd383e6b0169338eb08ede,1
06cc888d0d5838c6a976f3b9fe39aa39,3
06d401f2f1293832f7cc54e5a0160e83,1
06dbb38125d0e35c8ed0ed68a50f4d62,3
06de57424cbe925e7029e2f6e1f6f7ea,3
06de8407732a10bf042f5425915ea7eb,1
06e632eb88df7a403d21682ff59d7525,1
06e6e64d2fd8ff478e35190e91f4984c,1
06e85bbc8c01d1eba150aeec79c0a37b,3
06e8d03ca8d5301de47b0734f03dba50,1
06ec8ede331f573cf4f003cd2d414f8d,3
06f249e121d0aa52f0a23d83a77224e5,1
06f5e1baac96135f41c895338b135f31,1
06fa2c69f50f25c2e249fd380c08d766,1
06fa7c0a937bdd86f2807f58617508ad,1
06fbd36322e8e7d01b98fad5975f7c09,1
06feaf219100c948007b19134102d070,3
07057aa025b88d0953dbec978f878050,1
0705913a4a1327610112a37e4d10b943,3
070666a1837dc3a7b10774f4f215a328,3
070dbe808f86ce323dd8bc98781570c5,2
070e93a613b7a059226b51c75221cd8a,1
072595f7ec0124652e4bcf9d48f1ee6f,1
0728c556838976127b0520d29f29650f,1
072a836b83006fa6ee8f1908441609c4,1
072ec673a82ac15f86af663a20376d61,3
073f199adcc2b326279fabe2b6d96cd5,1
07420e64522ae69cb1867de6b874f2fa,1
0745c5a57ba9416fdaadf6219b0f830b,1
0749dc39d8ced4c2eb2fdf71305f453c,2
074b4457704273f60379096e96be21c0,3
074e66f75650948b8df12cfe2ffb5f37,1
074ec60314bef4818a94c019bcfa8b4d,1
0754c1b57afe937aa889f0bc1a835be1,1
075fd0df719e2338e3d8679211fbdd08,1
076235a3947de0370957401790abfd3f,3
076d8d1dfc7deaadddce393156da0271,1
0777b8e5217233587a809156409ca201,1
07816aa2a932c6c86c1d644876db1e99,1
0783222f1d925cebdf71f579927af07c,1
07847d81ae4b9848aaf07f2a40ed7daa,1
