XXX,Sample,FD1,FD19,FD2,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,FD28,FD29,FD3,FD30,FD37,FD38,FD39,FD4,FD40,FD41,FD42,FD5,FD6,Totalpersample,totalallsample,relabund,relabundtimes100,size
X,355c6350b6b3d0bccc8344ed0857137a,0,36,26,18,25,0,24,0,14,28,0,38,0,0,20,21,23,0,0,0,14,21,0,17,325,1131861,0.000287138,0.028713773,4.03
X,97a7fce8cdd13b1e08878a12b1ece4fd,0,0,0,0,36,19,0,43,0,0,0,23,0,9,16,0,27,27,0,0,64,23,0,39,326,1131861,0.000288021,0.028802123,4.03
X,74d2af17686e6f39a9d3adaec853df05,0,12,48,8,0,24,61,23,17,0,41,11,0,16,39,14,0,0,0,7,0,0,0,10,331,1131861,0.000292439,0.029243874,4.03
,a9ed26435b9a0410d043eb859626a6af,45,0,0,0,37,0,17,0,0,13,26,35,0,17,26,53,0,0,0,0,0,14,35,13,331,1131861,0.000292439,0.029243874,4.03
,f7fcf7b07c4a987e18711a95a263d4be,0,0,0,0,58,0,10,33,0,0,6,0,7,0,37,26,0,45,12,39,41,0,0,18,332,1131861,0.000293322,0.029332224,4.03
X,82c60d272efb9668c7048b4fefd45fdf,0,0,0,7,0,10,19,37,15,75,12,19,0,0,31,32,12,0,0,0,20,47,0,0,336,1131861,0.000296856,0.029685624,4.03
X,68df9aa146fbc58badd2b90fed67eb26,0,8,17,0,13,9,3,39,0,0,0,0,9,58,31,0,13,19,45,3,19,0,22,32,340,1131861,0.00030039,0.030039024,4.03
X,48cbefde19001137abb8b7976cf711e0,14,0,0,0,22,9,14,13,0,18,21,13,0,32,19,25,19,0,20,29,0,14,24,35,341,1131861,0.000301274,0.030127374,4.03
,e22aff5e874e465ec4f8d9568f485a81,18,12,0,0,0,0,13,34,9,0,14,0,14,29,0,57,21,24,18,32,0,19,0,31,345,1131861,0.000304808,0.030480775,4.03
,c1ef50312081e14132b68ea99938efe8,24,0,10,21,0,0,32,0,0,23,62,0,0,0,18,0,0,0,27,20,33,0,59,20,349,1131861,0.000308342,0.030834175,4.03
X,3c0d78d25ced17b529d930b89571ff57,0,0,0,0,0,0,0,0,31,38,19,21,0,0,0,36,34,0,0,43,29,42,0,62,355,1131861,0.000313643,0.031364275,4.03
X,5d9180880af9854c6372832cdeb3d320,42,13,0,25,0,31,19,0,0,8,0,0,0,19,28,0,14,24,50,0,32,0,45,7,357,1131861,0.00031541,0.031540975,4.03
X,8eeee86659d39d7697f96a115ec58955,38,0,24,12,0,0,0,0,0,0,24,0,0,34,54,0,0,0,40,0,0,36,63,35,360,1131861,0.00031806,0.031806026,4.03
,e8961e279b0737d622306614fa979b0f,27,81,22,0,0,9,21,14,0,25,23,25,0,45,18,0,0,0,0,0,0,0,53,0,363,1131861,0.000320711,0.032071076,4.03
X,2d4daf13211b721af1cc1e591194d198,18,0,0,0,0,0,10,26,0,0,20,15,0,50,34,63,0,27,23,0,46,0,33,0,365,1131861,0.000322478,0.032247776,4.03
X,721f210673441b0c7ea0a42fe6e059c2,29,26,0,0,0,18,15,9,0,28,36,27,0,0,0,0,29,0,0,51,60,0,35,8,371,1131861,0.000327779,0.032777876,4.03
X,2951329abbe43dc4e3487b3f09c864de,0,0,0,0,35,29,29,0,31,22,0,18,0,16,0,28,49,0,8,43,32,17,0,18,375,1131861,0.000331313,0.033131277,4.03
X,63945242997d77d36942527575a8a99d,20,18,13,0,0,0,0,49,0,37,0,24,27,17,24,36,42,0,0,52,0,18,0,0,377,1131861,0.00033308,0.033307977,4.03
X,063a8b0b4589fa1fdbeb2119ffe4faf5,0,33,0,0,0,0,55,36,0,12,7,33,14,0,29,36,0,0,0,47,57,0,0,20,379,1131861,0.000334847,0.033484677,4.03
,f1de58e896111f37a5547e55c818bd8d,17,15,0,8,29,23,23,15,0,0,15,26,31,22,34,16,16,9,0,18,28,12,11,13,381,1131861,0.000336614,0.033661377,4.03
X,8d131fbe2a51685f205ecf49614df89f,26,32,0,0,34,0,0,0,33,33,0,28,0,0,19,27,20,21,19,26,26,21,0,19,384,1131861,0.000339264,0.033926427,4.03
,b13156b2fb7e1ee377d0b1e6ec7b8c7f,0,0,19,0,27,0,0,44,0,0,0,24,46,20,0,0,50,42,0,0,47,0,35,30,384,1131861,0.000339264,0.033926427,4.03
X,814829b28c2f2b6d01ef3da917aa9620,59,22,0,0,22,0,31,0,51,26,19,0,0,66,33,0,0,0,0,0,0,0,12,44,385,1131861,0.000340148,0.034014777,4.03
X,2b2bf61846ac2d5d20ebe60d9ac3ba21,36,34,21,0,6,4,30,6,39,45,9,18,0,36,0,0,7,6,23,11,6,0,35,14,386,1131861,0.000341031,0.034103128,4.03
,dc38bb48c57291481ef17757f91e52d6,41,28,0,16,0,13,0,0,24,25,19,24,0,33,0,21,0,0,19,0,15,27,69,13,387,1131861,0.000341915,0.034191478,4.03
,ff77fc0bd8e5769025e34d27fa1aea7c,0,45,24,27,0,0,0,28,0,0,16,31,29,0,24,0,52,0,0,0,38,40,0,33,387,1131861,0.000341915,0.034191478,4.03
X,1810761473a66f3539bd8192836e8f71,23,25,0,0,0,15,0,0,0,26,0,21,0,33,22,20,29,30,16,0,26,37,42,23,388,1131861,0.000342798,0.034279828,4.03
X,4164e5a93c26aba949f9f4aef52f6ae3,38,33,16,18,36,0,0,0,22,0,24,0,49,40,18,0,0,0,0,17,0,0,53,26,390,1131861,0.000344565,0.034456528,4.03
X,9d44542f9e5d6afaa65338fade7390cb,15,0,38,0,0,0,16,40,20,0,0,12,19,15,15,35,15,51,0,31,19,41,13,0,395,1131861,0.000348983,0.034898278,4.03
X,8398b1c650e249bbfb3988e1721b1954,0,14,0,0,0,0,47,59,0,0,0,0,0,20,24,0,56,0,55,0,46,48,27,0,396,1131861,0.000349866,0.034986628,4.03
,b08518861aad3a55ec7ee5dee551c3a1,0,13,0,0,36,0,0,31,0,0,0,68,0,0,39,24,0,61,17,36,0,53,18,0,396,1131861,0.000349866,0.034986628,4.03
,abad53feb6f5780f11bf5253dd85b33b,21,38,19,22,15,28,37,0,26,2,33,12,6,0,15,0,0,0,19,21,0,72,0,15,401,1131861,0.000354284,0.035428379,4.04
,d985d535524c0b7e81cedff933136408,0,0,0,0,0,17,13,59,0,0,0,0,0,66,37,0,38,0,48,0,0,19,52,52,401,1131861,0.000354284,0.035428379,4.04
,c9f37e18cd5c75d991280f5715c191eb,21,0,19,24,43,72,27,33,0,21,0,0,16,23,0,0,0,0,40,24,0,0,39,0,402,1131861,0.000355167,0.035516729,4.04
X,5d15728d36a679257babb9cd13b29a99,22,0,25,0,28,22,34,42,0,22,32,28,0,52,0,28,31,0,0,0,17,0,22,0,405,1131861,0.000357818,0.035781779,4.04
X,58f0afd219aeca9177ec09c30c28fc33,0,0,39,34,36,0,0,0,0,50,0,24,29,85,35,27,0,0,0,0,0,0,0,50,409,1131861,0.000361352,0.036135179,4.04
,e81ba95647cf390ca4163e1adaae8954,30,18,20,38,26,0,0,0,0,0,0,21,28,34,15,20,0,27,0,14,16,42,43,20,412,1131861,0.000364002,0.036400229,4.04
,f0d038e42a227b18a9c1c5a4a4435df2,45,41,42,0,40,0,0,34,18,30,34,0,0,24,22,23,0,0,17,0,0,0,22,20,412,1131861,0.000364002,0.036400229,4.04
X,75226a34961e7178e043576fe6489cbc,10,19,0,0,0,0,38,43,0,0,0,22,0,0,36,44,28,58,0,32,63,20,0,0,413,1131861,0.000364886,0.036488579,4.04
X,796c50f83bfdf82881731e899b7a409e,19,48,35,0,58,0,0,0,23,0,38,19,0,11,14,20,0,0,0,39,47,0,18,24,413,1131861,0.000364886,0.036488579,4.04
X,6df56b846f58ff1af288ce2c72d38554,22,0,0,0,21,18,35,45,24,0,0,35,0,40,34,0,20,37,0,0,0,43,44,0,418,1131861,0.000369303,0.03693033,4.04
X,2687ca73142102d4ea7051ae9a0cb10f,0,9,0,0,0,8,2,27,0,0,0,14,0,0,6,35,4,0,0,302,0,8,5,0,420,1131861,0.00037107,0.03710703,4.04
X,7d6d1d8113ec7f891d27d8391df66411,0,15,17,0,16,0,0,35,21,7,20,13,31,38,52,13,20,37,19,0,0,19,14,38,425,1131861,0.000375488,0.03754878,4.04
,cfac5718777452ddd3e80d2d17c41d49,22,29,48,0,26,20,0,0,25,0,38,20,34,40,32,0,0,0,18,15,0,0,34,26,427,1131861,0.000377255,0.03772548,4.04
X,9b3c83f0ce7d2ff29b69d076065c65d9,0,33,7,0,37,25,54,43,0,0,0,21,15,0,19,43,24,38,15,59,0,0,0,0,433,1131861,0.000382556,0.038255581,4.04
X,23efce07a9a5ce9745b758327a770b9c,21,0,15,24,0,0,57,0,0,0,0,0,15,0,0,60,68,0,44,24,57,33,0,17,435,1131861,0.000384323,0.038432281,4.04
,c550d693ad3b162a817462cc945063ff,40,37,36,0,29,16,0,0,0,37,26,29,0,0,0,59,0,0,0,26,63,22,16,0,436,1131861,0.000385206,0.038520631,4.04
X,7fbcbf060cc20ed43ec136d96a8f5765,0,25,0,0,31,0,0,31,0,0,22,0,0,46,34,40,56,0,23,20,49,60,0,0,437,1131861,0.00038609,0.038608981,4.04
X,9c4117365dcf5e96db1c2696e3ba0aca,19,25,4,13,25,18,18,0,14,16,9,21,33,15,14,12,49,23,15,48,23,23,0,8,445,1131861,0.000393158,0.039315782,4.04
X,8d1b5098c19d452a16d54c3481b04b9b,81,0,59,17,0,0,14,41,24,0,0,13,0,40,26,0,10,9,37,6,0,20,51,0,448,1131861,0.000395808,0.039580832,4.04
X,151f25319c8715bb49632a77fb021ad5,33,11,36,0,16,48,34,40,0,0,0,27,0,0,0,26,29,27,0,0,55,22,32,14,450,1131861,0.000397575,0.039757532,4.04
,aa79cd522d10c4cd9d0b573958b93c40,79,82,0,0,66,0,10,0,78,19,22,0,0,0,0,0,16,36,0,14,0,0,0,28,450,1131861,0.000397575,0.039757532,4.04
,eae2dc0f6d173165e1acd84835560bbf,39,27,22,12,9,0,22,17,0,15,28,20,26,49,23,20,5,13,25,17,0,9,19,35,452,1131861,0.000399342,0.039934232,4.04
X,8cc92a17f049c226b3da5af42a046922,0,0,0,0,45,0,0,49,0,18,17,0,0,31,51,59,37,38,0,46,0,35,0,29,455,1131861,0.000401993,0.040199282,4.04
X,4d6201fb420d647c32ea0cd582ef338d,58,0,0,0,26,27,0,0,30,0,40,88,28,35,0,0,71,0,44,0,0,0,0,17,464,1131861,0.000409944,0.040994433,4.04
,a157aa393add09ea96b5690fb5a03e97,32,19,34,23,21,0,18,0,54,0,34,27,18,0,20,23,0,12,26,19,11,10,51,13,465,1131861,0.000410828,0.041082783,4.04
X,6bf484a150739797db30e1db399881d9,0,0,0,0,17,0,34,85,0,42,0,36,0,28,0,44,0,31,0,102,17,0,30,0,466,1131861,0.000411711,0.041171133,4.04
X,71cf03b7adaf0113eece7081240f4da0,0,44,0,0,35,0,73,0,31,40,0,66,0,69,0,33,0,0,0,59,23,0,0,0,473,1131861,0.000417896,0.041789584,4.04
X,2693e41a3f16a944b879c69d0ffff613,24,29,40,34,0,30,24,0,25,47,0,0,0,46,0,0,0,11,26,62,36,0,45,0,479,1131861,0.000423197,0.042319684,4.04
